Individual,Testes Size,Photo,ID,Photo ID,Within-photo CV,Photo score
11,39.73058812,1,G2 AM 2,,,
11,38.4444227,1,G2 AM 2,,,
11,36.26480514,1,G2 AM 2,,,
11,35.40982734,2,G2 AM 2,,,
11,37.98228825,2,G2 AM 2,,,
11,39.41932325,2,G2 AM 2,,,
11,36.83864557,2,G2 AM 2,,,
11,38.64855124,2,G2 AM 2,,,
11,39.41814814,3,G2 AM 2,,,
11,38.64022686,3,G2 AM 2,,,
11,37.74061239,3,G2 AM 2,,,
11,39.60453337,3,G2 AM 2,,,
11,40.69883966,3,G2 AM 2,,,
11,35.34230107,4,G2 AM 2,,,
11,38.37013024,4,G2 AM 2,,,
11,37.91875872,4,G2 AM 2,,,
11,38.14821593,4,G2 AM 2,,,
11,37.30074521,4,G2 AM 2,,,
12,42.59816472,1,G13 AM 1,,,
12,43.86448921,1,G13 AM 1,,,
12,41.08045174,1,G13 AM 1,,,
12,43.1366062,1,G13 AM 1,,,
12,41.85874514,1,G13 AM 1,,,
12,37.59389484,2,G13 AM 1,,,
12,41.78898346,2,G13 AM 1,,,
12,37.88907698,2,G13 AM 1,,,
12,40.94815902,2,G13 AM 1,,,
12,40.65089143,2,G13 AM 1,,,
13,31.09401831,1,G14 AM 1,,,
13,32.93952669,1,G14 AM 1,,,
13,31.04441964,1,G14 AM 1,,,
13,30.00495458,1,G14 AM 1,,,
13,31.83470037,1,G14 AM 1,,,
13,27.34933524,2,G14 AM 1,,,
13,32.13260771,2,G14 AM 1,,,
13,34.25154887,2,G14 AM 1,,,
13,32.35454284,2,G14 AM 1,,,
13,30.44089611,2,G14 AM 1,,,
13,33.44677628,3,G14 AM 1,,,
13,35.81384505,3,G14 AM 1,,,
13,33.61061895,3,G14 AM 1,,,
13,34.79181822,3,G14 AM 1,,,
13,32.96504364,3,G14 AM 1,,,
13,34.78648429,4,G14 AM 1,,,
13,37.46200852,4,G14 AM 1,,,
13,35.02725462,4,G14 AM 1,,,
13,33.91592379,4,G14 AM 1,,,
13,32.52698591,4,G14 AM 1,,,
14,44.01059553,1,G15 AM 1,,,
14,41.71482467,1,G15 AM 1,,,
14,39.557939,1,G15 AM 1,,,
14,40.71496911,1,G15 AM 1,,,
14,43.46680967,1,G15 AM 1,,,
15,55.59559658,1,G20 AM 1,,,
15,51.63423758,1,G20 AM 1,,,
15,52.5614247,1,G20 AM 1,,,
15,59.39679611,1,G20 AM 1,,,
15,52.63440203,1,G20 AM 1,,,
16,42.29158597,1,G21 AM 1,,,
16,38.35747889,1,G21 AM 1,,,
16,38.41595846,1,G21 AM 1,,,
16,41.83229563,1,G21 AM 1,,,
16,45.09168047,1,G21 AM 1,,,
17,45.31045911,1,G22 AM 1,,,
17,49.50921038,1,G22 AM 1,,,
17,47.21167949,1,G22 AM 1,,,
17,48.10252157,1,G22 AM 1,,,
17,47.57467265,1,G22 AM 1,,,
18,23.90183775,1,G17 AM 1,,,
18,23.47352057,1,G17 AM 1,,,
18,23.4111313,1,G17 AM 1,,,
18,23.89578181,1,G17 AM 1,,,
18,21.9504927,1,G17 AM 1,,,
