Individual,Individual2,Photo Number,Photo,Measurement Number,Left Testis Width,Left Testis Length,Left Testis Volume,Right Testis Width,Right Testis Length,Right Testis Volume,Total Testes Volume,Average Photo Volume,Final Measurement
,5,000-0686,1,5,2.652,4.701,17.31154835,4.136,3.827,34.27821076,51.58975911,50.00809958,50.00809958
G11 AM3,6,000-0693,1,1,3.64,4.362,30.26126306,3.059,3.942,19.31408757,49.57535063,,
,6,000-0693,1,2,3.442,4.501,27.92089705,3.37,3.942,23.44094112,51.36183817,,
,6,000-0693,1,3,3.63,4.301,29.67435685,3.417,3.564,21.78844694,51.46280379,,
,6,000-0693,1,4,3.686,4.441,31.59294106,3.018,3.38,16.11958265,47.71252371,,
,6,000-0693,1,5,3.76,4.32,31.97849782,3.221,3.564,19.36055342,51.33905123,50.29031351,50.29031351
G6 AM1,7,000-0458,1,1,2.182,2.975,7.416433123,2.305,2.838,7.895013426,15.31144655,,
,7,000-0458,1,2,2.328,3.075,8.725889206,2.378,2.95,8.734626499,17.4605157,,
,7,000-0458,1,3,2.272,2.916,7.881389592,2.323,2.841,8.027277481,15.90866707,,
,7,000-0458,1,4,2.162,2.885,7.060831036,2.386,2.914,8.686184472,15.74701551,,
,7,000-0458,1,5,2.193,2.994,7.539241963,2.364,3,8.778388989,16.31763095,16.14905516,
,7,000-0459,2,1,2.322,3.088,8.717668387,2.421,2.946,9.041093148,17.75876154,,
,7,000-0459,2,2,2.246,2.942,7.770711664,2.345,3.05,8.781812409,16.55252407,,
,7,000-0459,2,3,2.185,2.955,7.386845067,2.382,3.092,9.185898066,16.57274313,,
,7,000-0459,2,4,2.22,2.982,7.695063541,2.294,2.909,8.01547328,15.71053682,,
,7,000-0459,2,5,2.179,2.975,7.396053651,2.327,3.079,8.729735348,16.125789,16.54407091,16.34656303
G12 AM1,8,000-0742,1,1,2.529,2.959,9.909260514,2.961,3.281,15.06196616,24.97122667,,
,8,000-0742,1,2,2.387,2.994,8.932134547,3.012,3.258,15.47603265,24.4081672,,
,8,000-0742,1,3,2.434,2.961,9.184979207,3.009,3.257,15.44047855,24.62545776,,
,8,000-0742,1,4,2.53,3.009,10.08467374,3.133,3.319,17.05794322,27.14261696,,
,8,000-0742,1,5,2.523,3.06,10.19892856,2.967,3.211,14.80041934,24.99934791,25.2293633,
,8,000-0743,2,1,2.747,3.338,13.18870862,2.889,3.524,15.40031506,28.58902368,,
,8,000-0743,2,2,2.768,3.463,13.89259213,3.033,3.662,17.63850542,31.53109755,,
,8,000-0743,2,3,2.7,3.226,12.31375515,3.04,3.741,18.10228915,30.4160443,,
,8,000-0743,2,4,2.745,3.4,13.41412154,3.047,3.586,17.43226487,30.8463864,,
,8,000-0743,2,5,2.652,3.34,12.29963231,2.96,3.754,17.22171162,29.52134393,30.18077917,
,8,000-0775,3,1,2.498,3.495,11.4190683,2.836,3.39,14.27613919,25.69520748,,
,8,000-0775,3,2,2.467,3.486,11.10872726,2.997,3.469,16.31459917,27.42332642,,
,8,000-0775,3,3,2.567,3.678,12.69001351,2.793,3.38,13.80566065,26.49567416,,
,8,000-0775,3,4,2.456,3.592,11.34466498,2.975,3.435,15.91839598,27.26306096,,
,8,000-0775,3,5,2.561,3.429,11.77566018,2.844,3.526,14.93276101,26.70842118,26.71713804,27.37576017
G12 AM 2,9,000-0748,1,1,2.691,2.921,11.07535294,2.942,3.158,14.31186018,25.38721312,,
,9,000-0748,1,2,2.69,2.92,11.06333425,2.837,3.052,12.86180211,23.92513636,,
,9,000-0748,1,3,2.845,3.195,13.54047895,2.707,3.247,12.45826093,25.99873987,,
,9,000-0748,1,4,2.602,2.877,10.19889378,2.909,3.038,13.46089183,23.65978561,,
,9,000-0748,1,5,2.69,3.017,11.43084912,2.699,3.157,12.04145517,23.4723043,24.48863585,
,9,000-0765,2,1,2.883,3.709,16.14153159,2.919,3.649,16.27948552,32.42101711,,
,9,000-0765,2,2,2.962,3.415,15.68770589,3.17,3.813,20.06244929,35.75015518,,
,9,000-0765,2,3,2.92,3.65,16.29510599,3.014,3.533,16.8046223,33.09972829,,
,9,000-0765,2,4,2.927,3.583,16.07277538,3.014,3.757,17.87007245,33.94284783,,
,9,000-0765,2,5,2.815,3.551,14.73350562,2.981,3.713,17.27617218,32.00967779,33.44468524,
,9,000-0781,3,1,2.735,3.346,13.10506623,3.093,3.31,16.58007368,29.68513991,,
,9,000-0781,3,2,2.586,3.264,11.42893634,2.933,3.423,15.41805702,26.84699335,,
,9,000-0781,3,3,2.639,3.498,12.7554918,3.037,3.31,15.98513101,28.74062281,,
,9,000-0781,3,4,2.611,3.312,11.82231956,2.905,3.43,15.15601463,26.97833418,,
,9,000-0781,3,5,2.612,3.579,12.78517468,3.147,3.498,18.13894038,30.92411505,28.63504106,28.85612072
G2 AM 1,10,000-0807,1,1,2.496,3.317,10.82014936,2.784,3.376,13.70059796,24.52074732,,
,10,000-0807,1,2,2.516,3.319,11.00087293,2.909,3.499,15.50350906,26.50438199,,
,10,000-0807,1,3,2.704,3.217,12.3158122,2.906,3.548,15.68821214,28.00402434,,
,10,000-0807,1,4,2.54,3.265,11.0293328,2.838,3.267,13.77756723,24.80690003,,
,10,000-0807,1,5,2.448,3.282,10.29816927,2.925,3.545,15.88058888,26.17875814,26.00296236,
,10,000-0817,2,1,2.382,3.224,9.578051541,3.03,3.204,15.40197403,24.98002557,,
,10,000-0817,2,2,2.477,3.232,10.38297929,3.151,3.503,18.21107429,28.59405357,,
,10,000-0817,2,3,2.536,3.134,10.55349024,3.152,3.318,17.26026351,27.81375375,,
,10,000-0817,2,4,2.611,3.25,11.60100802,3.106,3.32,16.77025278,28.3712608,,
,10,000-0817,2,5,2.528,3.222,10.78147791,2.975,3.122,14.46789876,25.24937668,27.00169407,
,10,000-0824,3,1,2.597,3.242,11.44868304,2.88,3.471,15.0743367,26.52301975,,
,10,000-0824,3,2,2.562,3.419,11.75048991,2.836,3.396,14.30140669,26.0518966,,
,10,000-0824,3,3,2.602,3.329,11.80122259,2.911,3.525,15.64019468,27.44141727,,
,10,000-0824,3,4,2.518,3.181,10.56023889,2.833,3.531,14.8384825,25.3987214,,
,10,000-0824,3,5,2.655,3.186,11.7590827,2.911,3.657,16.22587005,27.98495275,26.68000155,26.56155266
G2 AM 2,11,000-0867,1,1,2.906,3.734,16.51064942,3.332,3.681,21.3980612,37.90871062,,
,11,000-0867,1,2,2.754,3.584,14.23293596,3.342,3.758,21.97699398,36.20992993,,
,11,000-0867,1,3,2.973,3.823,17.69264399,3.312,3.837,22.03794413,39.73058812,,
,11,000-0867,1,4,2.81,3.735,15.44194027,3.393,3.816,23.00248243,38.4444227,,
,11,000-0867,1,5,2.663,3.66,13.59008085,3.328,3.91,22.67472429,36.26480514,37.7116913,
,11,000-0885,2,1,2.706,3.92,15.02935261,3.342,3.485,20.38047472,35.40982734,,
,11,000-0885,2,2,2.778,3.716,15.01546584,3.586,3.411,22.96682241,37.98228825,,
,11,000-0885,2,3,2.929,3.754,16.86287551,3.525,3.467,22.55644774,39.41932325,,
,11,000-0885,2,4,2.935,3.488,15.73226705,3.457,3.373,21.10637853,36.83864557,,
,11,000-0885,2,5,2.929,3.625,16.28341069,3.546,3.397,22.36514055,38.64855124,37.65972713,
,11,000-1052,3,1,3.511,3.523,22.73908182,3.176,3.158,16.67906632,39.41814814,,
,11,000-1052,3,2,3.37,3.612,21.47860967,3.186,3.229,17.16161719,38.64022686,,
,11,000-1052,3,3,3.278,3.425,19.26979509,3.276,3.287,18.4708173,37.74061239,,
